away_score,home_score,game_id,season,season_type,home_team_id,home_team_name,home_team_abbrev,away_team_id,away_team_name,away_team_abbrev,game_date,home_win,away_win,home_time_in_front,away_time_in_front,home_time_in_front_fr,away_time_in_front_fr,away_time_behind,home_time_behind,home_win1,home_win2,home_win3,home_win4,away_win1,away_win2,away_win3,away_win4,home_win_a1,home_win_a2,home_win_a3,home_win_a4,away_win_a1,away_win_a2,away_win_a3,away_win_a4,home_time_behind_fr,away_time_behind_fr,win_time_in_front,lose_time_in_front,win_team,lose_team,win_time_behind,lose_time_behind
103,90,400900579,2017,2,29,Memphis,MEM,8,Detroit,DET,17265,FALSE,TRUE,1365,1198,0.4739583333333333,0.41597222222222224,1365,1198,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.41597222222222224,0.4739583333333333,0.41597222222222224,0.4739583333333333,DET,MEM,0.4739583333333333,0.41597222222222224
109,110,400900580,2017,2,13,Los Angeles,LAL,16,Minnesota,MIN,17265,TRUE,FALSE,1633,877,0.5670138888888889,0.30451388888888886,1633,877,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.30451388888888886,0.5670138888888889,0.5670138888888889,0.30451388888888886,LAL,MIN,0.30451388888888886,0.5670138888888889
106,107,400900566,2017,2,17,Brooklyn,BKN,4,Chicago,CHI,17264,TRUE,FALSE,1795,933,0.6232638888888888,0.32395833333333335,1795,933,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.32395833333333335,0.6232638888888888,0.6232638888888888,0.32395833333333335,BKN,CHI,0.32395833333333335,0.6232638888888888
121,114,400900567,2017,2,30,Charlotte,CHA,2,Boston,BOS,17264,FALSE,TRUE,813,1888,0.28229166666666666,0.6555555555555556,813,1888,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.6555555555555556,0.28229166666666666,0.6555555555555556,0.28229166666666666,BOS,CHA,0.28229166666666666,0.6555555555555556
127,112,400900568,2017,2,19,Orlando,ORL,11,Indiana,IND,17264,FALSE,TRUE,395,2279,0.1371527777777778,0.7913194444444445,395,2279,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.7913194444444445,0.1371527777777778,0.7913194444444445,0.1371527777777778,IND,ORL,0.1371527777777778,0.7913194444444445
90,82,400900569,2017,2,20,Philadelphia,PHI,15,Milwaukee,MIL,17264,FALSE,TRUE,1004,1663,0.3486111111111111,0.5774305555555556,1004,1663,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.5774305555555556,0.3486111111111111,0.5774305555555556,0.3486111111111111,MIL,PHI,0.3486111111111111,0.5774305555555556
106,103,400900570,2017,2,27,Washington,WSH,14,Miami,MIA,17264,FALSE,TRUE,943,1463,0.32743055555555556,0.5079861111111111,943,1463,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.5079861111111111,0.32743055555555556,0.5079861111111111,0.32743055555555556,MIA,WSH,0.32743055555555556,0.5079861111111111
98,87,400900571,2017,2,24,San Antonio,SA,12,LA,LAC,17264,FALSE,TRUE,238,2500,0.08263888888888889,0.8680555555555556,238,2500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.8680555555555556,0.08263888888888889,0.8680555555555556,0.08263888888888889,LAC,SA,0.08263888888888889,0.8680555555555556
86,101,400900572,2017,2,22,Portland,POR,26,Utah,UTAH,17264,TRUE,FALSE,2812,18,0.9763888888888889,0.00625,2812,18,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00625,0.9763888888888889,0.9763888888888889,0.00625,POR,UTAH,0.00625,0.9763888888888889
101,123,400900573,2017,2,9,Golden State,GS,3,New Orleans,NO,17264,TRUE,FALSE,2584,144,0.8972222222222223,0.05,2584,144,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.05,0.8972222222222223,0.8972222222222223,0.05,GS,NO,0.05,0.8972222222222223
